id	tahun_pengajuan	jenis_pengajuan	peruntukan	penerima	pimpinan	bhi	kecamatan	desa	alamat	nominal	uraian_keg_satuan	opd_rekomendasi	opd_pelaksana	program	kegiatan	sub_kegiatan	tahun_terakhir_menerima	tanggal_permohonan	nomor_permohonan	nomor_penerbitan_rekomendasi	pejabat_penerbitan_rekomendasi	tanggal_penerbitan_rekomendasi	tanggal_disposisi_bupati	tanggal_pertimbangan_ketua_tapd	isi_disposisi_ketua_tapd	created_at	created_by
20220418116	0		jasa	makan bakpau	20000	sdnakjny8934	352304	3523042007	2022-05-22	4353	2010	5.01.5.05.0.00.02.00	5.01.5.05.0.00.02.00	program	3.31.04.2.01		0	0/0/0000	2022-07-22	2022-02-22		1/1/1970	0/0/0000	1/1/1970		18/4/2022 22:56:19	admin
20220418117	2011	hibah	barang	harim	harim	dknoqh	352306	3523062007	ewnhwher209	3453643	nskcjnjdhiuweorho	7.01.0.00.0.00.20.00	7.01.0.00.0.00.20.00	3.31.01	3.31.01.2.06	3.31.01.2.06.01	2015	2/4/2022	ern234	wrq24213	gert	30/4/2022	7/5/2022	30/6/2022	sudah	18/4/2022 23:24:05	admin
202204191111	2010		jasa	6587686	76897jhbjhi87	cgctf76	352303	3523032004	6587686	4535	cgctf76	5.01.5.05.0.00.02.00	5.01.5.05.0.00.02.00	program	3.31.01.2.05	3.31.01.2.05.02	2016	22/5/2022	dmaokm	32874nkd/sn	sk	22/4/2022	30/4/2022	30/8/2022	fbkjabsiu726	19/4/2022 00:08:26	admin
202204191112	2010		jasa	6587687	76897jhbjhi88	sda8342	352303	3523032004	6587687	54353	sda8342	5.01.5.05.0.00.02.00	5.01.5.05.0.00.02.00	program	3.31.01.2.05	3.31.01.2.05.02	2017	23/5/2022	dmaokm	32874nkd/sn	sk	22/4/2022	30/4/2022	30/8/2022	fbkjabsiu727	19/4/2022 00:08:26	admin
202204191113	2013	hibah	uang	yuma	huhu	cgctf76	352303	3523032008	6587686	35435	2016	7.01.0.00.0.00.13.00	7.01.0.00.0.00.13.00	3.31.01	3.31.01.2.06	3.31.01.2.06.04	2022	1/1/1970	32874nkd/sn	sk	2022-04-22	30/4/2022	30/8/2022	1/1/1970		19/4/2022 00:38:36	admin
202204191114	2013	Hibah	uang	ida	tata	sda8342	352303	3523032008	6587687	69878909	2017	7.01.0.00.0.00.13.00	7.01.0.00.0.00.13.00	3.31.01	3.31.01.2.06	3.31.01.2.06.04	2022	1/1/1970	32874nkd/sn	sk	2022-04-22	30/4/2022	30/8/2022	1/1/1970		19/4/2022 00:38:36	admin
202204191115	2011	hibah	jasa	yuma	huhu	cgctf76	352305	3523052011	6587686	5	2016	7.01.0.00.0.00.04.00	7.01.0.00.0.00.04.00	3.31.01	3.31.01.2.05	3.31.01.2.05.11	2022	1/1/1970	32874nkd/sn	sk	2022-04-22	30/4/2022	30/8/2022	1/1/1970		19/4/2022 00:39:17	admin
202204191116	2011	Hibah	jasa	ida	tata	sda8342	352305	3523052011	6587687	68769	2017	7.01.0.00.0.00.04.00	7.01.0.00.0.00.04.00	3.31.01	3.31.01.2.05	3.31.01.2.05.11	2022	1/1/1970	32874nkd/sn	sk	2022-04-22	30/4/2022	30/8/2022	1/1/1970		19/4/2022 00:39:17	admin
202204191117	2012	hibah	uang	dami	huhu	cgctf76	352319	3523192009	6587686	6	2016	7.01.0.00.0.00.10.00	7.01.0.00.0.00.10.00	3.31.01	3.31.01.2.06	3.31.01.2.06.01	2022	1/1/1970	32874nkd/sn	sk	2022-04-22	30/4/2022	30/8/2022	1/1/1970		19/4/2022 00:48:30	admin
202204191118	2012	Hibah	uang	yuda	tata	sda8342	352319	3523192009	6587687	64	2017	7.01.0.00.0.00.10.00	7.01.0.00.0.00.10.00	3.31.01	3.31.01.2.06	3.31.01.2.06.01	2022	1/1/1970	32874nkd/sn	sk	2022-04-22	20/4/2022	10/8/2022	1/1/1970		19/4/2022 00:48:30	admin
202204191119	0	hibah	uang	yessy	alis	cgctf768979ho	352303	3523032011	69870805211	453	2016	4.02.0.00.0.00.01.00	4.02.0.00.0.00.01.00	3.31.01	3.31.01.2.06	3.31.01.2.06.01	2022	1/1/1970	32874nkd/sn	sk	2022-04-22	30/4/2022	30/8/2022	1/1/1970		19/4/2022 06:53:21	admin
202204191120	0	Hibah	uang	amar	kuning	cgctf768979ho	352303	3523032011	69870805211	687687	2017	4.02.0.00.0.00.01.00	4.02.0.00.0.00.01.00	3.31.01	3.31.01.2.06	3.31.01.2.06.01	2022	1/1/1970	32874nkd/sn	sk	2022-04-22	20/4/2022	10/8/2022	1/1/1970		19/4/2022 06:53:21	admin
