id_skpd	nama_skpd	tag	created_at	updated_at	created_by	updated_by	tahun
1.01.0.00.0.00.01.0000	DINAS PENDIDIKAN						2022
1.02.2.14.0.00.03.0000	DINAS KESEHATAN, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA						2022
1.02.2.14.0.00.03.0001	RSUD dr. R. KOESMA						2022
1.02.2.14.0.00.03.0002	RSUD R. ALI MANSHUR						2022
1.03.1.04.2.10.10.0000	DINAS PEKERJAAN UMUM DAN PENATAAN RUANG, PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN						2022
1.05.0.00.0.00.03.0000	SATUAN POLISI PAMONG PRAJA DAN PEMADAM KEBAKARAN						2022
1.05.0.00.0.00.04.0000	BADAN PENANGGULANGAN BENCANA DAERAH						2022
1.06.2.08.2.13.08.0000	DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK, SERTA PEMBERDAYAAN MASYARAKAT DAN DESA						2022
1.1.01.01	DINAS PENDIDIKAN						
1.1.02.01	DINAS KESEHATAN						
1.1.02.02	RSUD dr R KOESMA						
1.1.03.01	DINAS PEKERJAAN UMUM & PENATAAN RUANG						
1.1.04.01	DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN						
1.1.05.01	SATUAN POLISI PAMONG PRAJA						
1.1.05.02	BADAN PENANGGULANGAN BENCANA DAERAH						
1.1.05.03	KANTOR KESATUAN BANGSA DAN POLITIK						
1.1.06.01	DINAS SOSIAL, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK						
1.2.05.01	DINAS LINGKUNGAN HIDUP						
1.2.06.01	DINAS KEPENDUDUKAN DAN PENCATAAN SIPIL						
1.2.07.01	DINAS PEMBERDAYAAN MASYARAKAT DAN DESA DAN KELUARGA BERENCANA						
1.2.09.01	DINAS PERHUBUNGAN						
1.2.10.01	DINAS KOMUNIKASI DAN INFORMASI						
1.2.11.01	DINAS KOPERASI, PERINDUSTRIAN DAN PERDAGANGAN		0/0/0000 00.00.00				
1.2.12.01	DINAS PENANAMAN MODAL PELAYANAN TERPADU SATU PINTU DAN TENAGA KERJA						
1.2.17.01	DINAS PERPUSTAKAAN DAN KEARSIPAN						
2.0.01.01	DINAS PERIKANAN DAN PETERNAKAN						
2.0.02.01	DINAS PARIWISATA, KEBUDAYAAN, PEMUDA DAN OLAHRAGA						
2.0.03.01	DINAS PERTANIAN DAN KETAHANAN PANGAN						
2.09.3.27.3.25.10.0000	DINAS KETAHANAN PANGAN, PERTANIAN DAN PERIKANAN						
2.12.0.00.0.00.01.0000	DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL						2022
2.15.2.11.0.00.02.0000	DINAS LINGKUNGAN HIDUP DAN PERHUBUNGAN						2022
2.16.2.20.2.21.04.0000	DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN						2022
2.17.3.30.0.00.03.0000	DINAS KOPERASI USAHA KECIL DAN MENENGAH, DAN PERDAGANGAN						2022
2.18.0.00.0.00.01.0000	DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU						2022
2.22.2.19.3.26.04.0000	DINAS KEBUDAYAAN, KEPEMUDAAN DAN OLAH RAGA SERTA PARIWISATA						2022
2.23.2.24.0.00.02.0000	DINAS PERPUSTAKAAN DAN KEARSIPAN						2022
3.0.01.01	BADAN PERENCANAAN PEMBANGUNAN DAERAH						
3.0.02.01	BADAN PENDAPATAN PENGELOLAAN KEUANGAN DAERAH						
3.0.03.01	BADAN KEPEGAWAIAN DAERAH						
3.0.05.01	SEKRETARIAT DPRD						
3.0.06.01	SEKRETARIAT DAERAH						
3.0.07.01	INSPEKTORAT						
3.31.3.32.2.07.11.0000	DINAS TENAGA KERJA DAN PERINDUSTRIAN						2022
4.01.0.00.0.00.01.0000	SEKRETARIAT DAERAH						2022
4.02.0.00.0.00.01.0000	SEKRETARIAT DPRD						2022
5.01.5.05.0.00.02.0000	BADAN PERENCANAAN PEMBANGUNAN DAERAH, PENELITIAN DAN PENGEMBANGAN						2022
5.02.0.00.0.00.04.0000	BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET DAERAH						2022
5.03.5.04.0.00.01.0000	BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA						2022
6.01.0.00.0.00.01.0000	INSPEKTORAT						2022
7.01.0.00.0.00.01.0000	KECAMATAN KENDURUAN						2022
7.01.0.00.0.00.02.0000	KECAMATAN JATIROGO						2022
7.01.0.00.0.00.03.0000	KECAMATAN BANGILAN						2022
7.01.0.00.0.00.04.0000	KECAMATAN BANCAR						2022
7.01.0.00.0.00.05.0000	KECAMATAN SENORI						2022
7.01.0.00.0.00.06.0000	KECAMATAN TAMBAKBOYO						2022
7.01.0.00.0.00.07.0000	KECAMATAN SINGGAHAN						2022
7.01.0.00.0.00.08.0000	KECAMATAN KEREK						2022
7.01.0.00.0.00.09.0000	KECAMATAN PARENGAN						2022
7.01.0.00.0.00.10.0000	KECAMATAN MONTONG						2022
7.01.0.00.0.00.11.0000	KECAMATAN SOKO						2022
7.01.0.00.0.00.12.0000	KECAMATAN JENU						2022
7.01.0.00.0.00.13.0000	KECAMATAN MERAKURAK						2022
7.01.0.00.0.00.14.0000	KECAMATAN RENGEL						2022
7.01.0.00.0.00.15.0000	KECAMATAN SEMANDING						2022
7.01.0.00.0.00.16.0000	KECAMATAN TUBAN						2022
7.01.0.00.0.00.17.0000	KECAMATAN PLUMPANG						2022
7.01.0.00.0.00.18.0000	KECAMATAN PALANG						2022
7.01.0.00.0.00.19.0000	KECAMATAN WIDANG						2022
7.01.0.00.0.00.20.0000	KECAMATAN GRABAGAN						2022
8.01.0.00.0.00.01.0000	BADAN KESATUAN BANGSA DAN POLITIK						2022
